Source,Asset ID,Title,Region,Location,Licence,Paid Ads OK,Tags,Credit,File Type,File Size,Resolution,Date Added,Source URL,Local Path,In Library
Tourism New Zealand,235229,"Nelson City, Nelson",Nelson,"Nelson City, Nelson",WorldWide - Unpaid Only,No,"activities, Business Events, cafe, Central City, coffee, coffee beans, coffee culture, coffee roastery, Corporate Events, Events, experience, Food and Beverage Industry Toolkit, food and drink, group of people, Image, Nelson, People, Sublime, Sublime coffee, Sublime coffee roasters, summer, Summer content, Summer Shoot, Urban",Miles Holden,JPG,26.58 MB,8192×5464px,16/11/2023,https://visuals.newzealand.com/asset-page/235229-nelson-city-nelson,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\235229-nelson-city-nelson.jpg,Yes
Tourism New Zealand,235224,"Nelson City, Nelson",Nelson,"Nelson, Nelson Tasman",WorldWide - Unpaid Only,No,"Brook Sancturary, Brook Waimarama Sanctuary, bush walk, Eco Tour, experience, guided tour, Image, native birds, native bush, Native Forest, Nature, Nelson, Nelson Tasman, Nelson trails, new zealand bush, sanctuary, summer, Summer content, Summer Shoot, The Brook Waimārama Sanctuary, Waimārama Sanctuary, walking, Walking Trail, wildlife, wildlife centre",Miles Holden,JPG,29.95 MB,6997×4667px,16/11/2023,https://visuals.newzealand.com/asset-page/235224-nelson-city-nelson,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\235224-nelson-city-nelson.jpg,Yes
Tourism New Zealand,235248,"Clevedon, Auckland",Auckland,"Clevedon, Auckland",WorldWide - Unpaid Only,No,"Auckland, beer tasting, biergarten, Brewery, Business Events, casual dining, Clevedon, Corporate Events, Craft Beer, Dining, Events, Food and Beverage Industry Toolkit, food and drink, food and wine, food & drink, Food & Wine, group of people, Hallertau, Hallertau Brewery, Hallertau brewery & biergarten, Image, Local Produce, People, summer, Summer content, Summer Shoot, wine and food",Miles Holden,JPG,30.1 MB,8192×5464px,16/11/2023,https://visuals.newzealand.com/asset-page/235248-clevedon-auckland,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\235248-clevedon-auckland.jpg,Yes
Tourism New Zealand,235252,"Clevedon, Auckland",Auckland,"Clevedon, Auckland",WorldWide - Unpaid Only,No,"Auckland, beer tasting, biergarten, Brewery, Business Events, casual dining, Clevedon, Corporate Events, Craft Beer, Dining, Events, Food and Beverage Industry Toolkit, food and drink, food and wine, food & drink, Food & Wine, group of people, Hallertau, Hallertau Brewery, Hallertau brewery & biergarten, Image, Local Produce, People, summer, Summer content, Summer Shoot, wine and food",Miles Holden,JPG,28.46 MB,8192×5464px,16/11/2023,https://visuals.newzealand.com/asset-page/235252-clevedon-auckland,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\235252-clevedon-auckland.jpg,Yes
Tourism New Zealand,235254,"Clevedon, Auckland",Auckland,"Clevedon, Auckland",WorldWide - Unpaid Only,No,"Auckland, beer tasting, biergarten, Brewery, Business Events, casual dining, Clevedon, Corporate Events, Craft Beer, Dining, Events, Food and Beverage Industry Toolkit, food and drink, food and wine, food & drink, Food & Wine, group of people, Hallertau, Hallertau Brewery, Hallertau brewery & biergarten, Image, Local Produce, People, summer, Summer content, Summer Shoot, wine and food",Miles Holden,JPG,26.75 MB,7883×5258px,16/11/2023,https://visuals.newzealand.com/asset-page/235254-clevedon-auckland,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\235254-clevedon-auckland.jpg,Yes
Tourism New Zealand,235236,"Waimauku, Auckland",Auckland,,WorldWide - Unpaid Only,No,"Auckland, Business Events, cellar door, Corporate Events, Dining, Events, food, Food and Beverage Industry Toolkit, food and drink, food and wine, food & drink, food experience, Food & Wine, group of people, Image, People, restaurant, summer, Summer content, Summer Shoot, The Hunting Lodge, The Hunting Lodge Winery and Restaurant, vineyard, Waimauku, wine and food, winery",Miles Holden,JPG,20.2 MB,8192×5464px,16/11/2023,https://visuals.newzealand.com/asset-page/235236-waimauku-auckland,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\235236-waimauku-auckland.jpg,Yes
Tourism New Zealand,235255,"Clevedon, Auckland",Auckland,"Clevedon, Auckland",WorldWide - Unpaid Only,No,"Auckland, beer tasting, biergarten, Brewery, Business Events, casual dining, Clevedon, Corporate Events, Craft Beer, Dining, Events, Food and Beverage Industry Toolkit, food and drink, food and wine, food & drink, Food & Wine, group of people, Hallertau, Hallertau Brewery, Hallertau brewery & biergarten, Image, Local Produce, People, summer, Summer content, Summer Shoot, wine and food",Miles Holden,JPG,33.36 MB,7782×5191px,16/11/2023,https://visuals.newzealand.com/asset-page/235255-clevedon-auckland,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\235255-clevedon-auckland.jpg,Yes
Tourism New Zealand,235256,"Clevedon, Auckland",Auckland,"Clevedon, Auckland",WorldWide - Unpaid Only,No,"Auckland, beer tasting, biergarten, Brewery, Business Events, casual dining, Clevedon, Corporate Events, Craft Beer, Dining, Events, Food and Beverage Industry Toolkit, food and drink, food and wine, food & drink, Food & Wine, group of people, Hallertau, Hallertau Brewery, Hallertau brewery & biergarten, Image, Local Produce, People, summer, Summer content, Summer Shoot, wine and food",Miles Holden,JPG,31.34 MB,5403×8101px,16/11/2023,https://visuals.newzealand.com/asset-page/235256-clevedon-auckland,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\235256-clevedon-auckland.jpg,Yes
Tourism New Zealand,235257,"Matapōuri, Northland",Northland,"Matapōuri, Northland",WorldWide - Unpaid Only,No,"activities, Activity, Adventure, Coastal Scenery, experience, Horse Riding, horses, Horse Trekking, Image, Matapouri, Matapōuri, Nature, Northland, qualmark, Sandy bay, Sandy Bay Glamping & Horse Tours, Sandy bay horse trekking, scenery, scenic, Scenics, summer, Summer content, Summer Shoot, Tutukaka, Tutukākā, Tutukaka Coast, Wildlife Encounter",Miles Holden,JPG,28.06 MB,8111×5410px,16/11/2023,https://visuals.newzealand.com/asset-page/235257-matapouri-northland,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\235257-matapouri-northland.jpg,Yes
Tourism New Zealand,235268,"Matapōuri, Northland",Northland,"Matapōuri, Northland",WorldWide - Unpaid Only,No,"Accommodation, Coastal Scenery, couple, Farmstay, glamping, Image, luxury, Luxury Accommodation, Matapouri, Matapōuri, Nature, Northland, qualmark, relax, relaxing, romantic getaway, Romantic Holiday, Sandy bay, Sandy Bay Glamping, Sandy Bay Glamping & Horse Tours, summer, Summer content, Summer Shoot, Tutukaka, Tutukākā, Tutukaka Coast, Yurt",Miles Holden,JPG,1.12 MB,8192×5464px,16/11/2023,https://visuals.newzealand.com/asset-page/235268-matapouri-northland,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\235268-matapouri-northland.jpg,Yes
